,DOE,Fit_Try3
788,doe3113,0.3
789,doe3115,0.4
790,doe3117,-0.1
791,doe3119,-0.0
792,doe3121,-1.2
793,doe3123,-1.2
794,doe3125,-1.1
795,doe3127,-1.0
796,doe3129,-0.8
797,doe3131,-0.8
798,doe3133,-0.7
799,doe3135,-0.7
800,doe3137,-0.7
801,doe3139,-0.6
802,doe3141,-0.9
803,doe3143,-0.8
804,doe3145,-0.6
805,doe3147,-0.2
806,doe3149,-0.7
807,doe3151,-0.3
808,doe3153,-1.0
809,doe3155,-0.9
810,doe3157,-1.4
811,doe3159,-1.3
812,doe3161,-0.7
813,doe3163,-0.8
814,doe3165,-1.0
815,doe3167,-1.1
816,doe3169,-0.7
817,doe3171,-0.7
818,doe3173,-1.0
819,doe3175,-1.0
820,doe3177,-0.4
821,doe3179,-0.2
822,doe3181,-0.4
823,doe3183,-0.3
824,doe3185,-1.5
825,doe3187,-1.4
826,doe3189,-1.7
827,doe3191,-1.7
828,doe3193,-0.8
829,doe3195,-0.8
830,doe3197,-0.9
831,doe3199,-0.9
832,doe3201,-0.7
833,doe3203,-1.0
834,doe3205,-0.8
835,doe3207,-1.0
836,doe3209,-4.1
837,doe3211,-4.1
838,doe3213,-3.1
839,doe3215,-3.4
840,doe3217,-1.9
841,doe3219,-2.0
842,doe3221,-1.9
843,doe3223,-2.0
844,doe3225,-3.8
845,doe3227,-3.8
846,doe3229,-3.6
847,doe3231,-3.6
848,doe3233,-1.8
849,doe3235,-1.6
850,doe3237,-2.1
851,doe3239,-1.9
852,doe3241,-4.9
853,doe3243,-4.7
854,doe3245,-4.6
855,doe3247,-4.4
856,doe3249,-2.0
857,doe3251,-2.0
858,doe3253,-2.1
859,doe3255,-2.1
860,doe3257,-3.6
861,doe3259,-3.6
862,doe3261,-3.6
863,doe3263,-3.5
864,doe3265,-1.4
865,doe3267,-1.5
866,doe3269,-1.5
867,doe3271,-1.6
868,doe3273,-4.0
869,doe3275,-4.1
870,doe3277,-4.1
871,doe3279,-4.2
872,doe3281,-2.0
873,doe3283,-2.1
874,doe3285,-2.1
875,doe3287,-2.1
876,doe3289,-3.5
877,doe3291,-3.5
878,doe3293,-3.6
879,doe3295,-3.6
880,doe3297,-2.2
881,doe3299,-2.0
882,doe3301,-2.3
883,doe3303,-2.1
884,doe3305,-4.8
885,doe3307,-4.7
886,doe3309,-4.8
887,doe3311,-4.8
888,doe3313,-2.0
889,doe3315,-1.9
890,doe3317,-2.0
891,doe3319,-2.0
892,doe3321,-3.4
893,doe3323,-3.3
894,doe3325,-3.5
895,doe3327,-3.4
896,doe3329,0.4
897,doe3331,0.5
898,doe3333,0.3
899,doe3335,0.3
900,doe3337,0.3
901,doe3339,0.3
902,doe3341,0.2
903,doe3343,0.2
904,doe3345,-2.9
905,doe3347,-2.6
906,doe3349,-3.7
907,doe3351,-3.6
908,doe3353,-2.6
909,doe3355,-2.3
910,doe3357,-3.5
911,doe3359,-3.4
912,doe3361,0.2
913,doe3363,0.1
914,doe3365,0.1
915,doe3367,0.0
916,doe3369,0.2
917,doe3371,0.2
918,doe3373,0.2
919,doe3375,0.2
920,doe3377,-4.1
921,doe3379,-4.3
922,doe3381,-4.7
923,doe3383,-4.9
924,doe3385,-3.3
925,doe3387,-3.4
926,doe3389,-4.1
927,doe3391,-4.3
928,doe3393,-0.3
929,doe3395,-0.4
930,doe3397,-0.3
931,doe3399,-0.4
932,doe3401,-0.2
933,doe3403,-0.2
934,doe3405,-0.2
935,doe3407,-0.2
936,doe3409,-4.2
937,doe3411,-4.1
938,doe3413,-4.2
939,doe3415,-4.0
940,doe3417,-3.5
941,doe3419,-3.3
942,doe3421,-3.5
943,doe3423,-3.3
944,doe3425,0.0
945,doe3427,-0.1
946,doe3429,0.0
947,doe3431,-0.1
948,doe3433,0.1
949,doe3435,0.1
950,doe3437,0.1
951,doe3439,0.1
952,doe3441,-5.0
953,doe3443,-5.1
954,doe3445,-4.9
955,doe3447,-5.1
956,doe3449,-3.9
957,doe3451,-4.0
958,doe3453,-3.9
959,doe3455,-4.0
960,doe3457,-0.5
961,doe3459,-0.7
962,doe3461,-0.5
963,doe3463,-0.6
964,doe3465,-3.5
965,doe3467,-3.6
966,doe3469,-2.7
967,doe3471,-2.9
968,doe3473,-2.0
969,doe3475,-1.6
970,doe3477,-1.9
971,doe3479,-1.5
972,doe3481,-4.4
973,doe3483,-4.4
974,doe3485,-4.4
975,doe3487,-4.4
976,doe3489,-1.1
977,doe3491,-1.1
978,doe3493,-0.9
979,doe3495,-0.9
980,doe3497,-4.0
981,doe3499,-3.8
982,doe3501,-3.2
983,doe3503,-3.2
984,doe3505,-2.4
985,doe3507,-2.4
986,doe3509,-2.4
987,doe3511,-2.3
988,doe3513,-4.3
989,doe3515,-4.3
990,doe3517,-4.4
991,doe3519,-4.4
992,doe3521,-0.8
993,doe3523,-0.9
994,doe3525,-0.8
995,doe3527,-0.9
996,doe3529,-3.3
997,doe3531,-3.4
998,doe3533,-3.3
999,doe3535,-3.5
1000,doe3537,-1.9
1001,doe3539,-1.6
1002,doe3541,-2.0
